"","Orden incial","Basurales cerca","Frecuencia de recoleccion"
"47",47,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"48",48,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"49",49,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"50",50,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"51",51,"No","No hay servicio de recolección municipal"
"52",52,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"53",53,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"54",54,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"55",55,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"56",56,"No","Al menos 5 veces a la semana"
"57",57,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"58",58,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"59",59,"No","Entre 2 y 4 veces a la semana"
"60",60,"No","Entre 2 y 4 veces a la semana"
"61",61,"No","Entre 2 y 4 veces a la semana"
"62",62,"No","Entre 2 y 4 veces a la semana"
"63",63,"No","Entre 2 y 4 veces a la semana"
"64",64,"No","Entre 2 y 4 veces a la semana"
"65",65,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"66",66,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"67",67,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"68",68,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"69",69,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"70",70,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"71",71,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"72",72,"No","Una vez a la semana"
"73",73,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"74",74,"No","No hay servicio de recolección municipal"
"75",75,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"76",76,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"77",77,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"78",78,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"79",79,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"80",80,"No","No hay servicio de recolección municipal"
"81",81,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"82",82,"No","No hay servicio de recolección municipal"
"83",83,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"84",84,"No","Una vez a la semana"
"85",85,"No","No hay servicio de recolección municipal"
"86",86,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"87",87,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"88",88,"No","No hay servicio de recolección municipal"
"89",89,"Sí, a menos de 500 metros","Una vez a la semana"
"90",90,"No","No hay servicio de recolección municipal"
"91",91,"No","No hay servicio de recolección municipal"
"92",92,"No","Al menos 5 veces a la semana"
"93",93,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"94",94,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"95",95,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"96",96,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"97",97,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"98",98,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"99",99,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"100",100,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"101",101,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"102",102,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"103",103,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"104",104,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"105",105,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"106",106,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"107",107,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"108",108,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"109",109,"No","Entre 2 y 4 veces a la semana"
"110",110,"No","Entre 2 y 4 veces a la semana"
"111",111,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"112",112,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"113",113,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"114",114,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"115",115,"No","No hay servicio de recolección municipal"
"116",116,"Sí, a menos de 500 metros","Una vez a la semana"
"117",117,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"118",118,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"119",119,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"120",120,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"121",121,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"122",122,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"123",123,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"124",124,"No","Entre 2 y 4 veces a la semana"
"125",125,"No","Entre 2 y 4 veces a la semana"
"126",126,"No","Entre 2 y 4 veces a la semana"
"127",127,"No","Entre 2 y 4 veces a la semana"
"128",128,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"129",129,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"130",130,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"131",131,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"132",132,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"133",133,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"134",134,"No","Entre 2 y 4 veces a la semana"
"135",135,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"136",136,"No","Entre 2 y 4 veces a la semana"
"137",137,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"138",138,"No","Entre 2 y 4 veces a la semana"
"139",139,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"140",140,"No","Entre 2 y 4 veces a la semana"
"141",141,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"142",142,"No","No hay servicio de recolección municipal"
"143",143,"No","Entre 2 y 4 veces a la semana"
"144",144,"No","Entre 2 y 4 veces a la semana"
"145",145,"No","Entre 2 y 4 veces a la semana"
"146",146,"No","Entre 2 y 4 veces a la semana"
"147",147,"No","Entre 2 y 4 veces a la semana"
"148",148,"No","Entre 2 y 4 veces a la semana"
"149",149,"No","Entre 2 y 4 veces a la semana"
"150",150,"No","Entre 2 y 4 veces a la semana"
"151",151,"No","Entre 2 y 4 veces a la semana"
"152",152,"No","Entre 2 y 4 veces a la semana"
"153",153,"No","Entre 2 y 4 veces a la semana"
"154",154,"No","Entre 2 y 4 veces a la semana"
"155",155,"No","Entre 2 y 4 veces a la semana"
"156",156,"No","Entre 2 y 4 veces a la semana"
"157",157,"No","Entre 2 y 4 veces a la semana"
"158",158,"No","Entre 2 y 4 veces a la semana"
"159",159,"No","Entre 2 y 4 veces a la semana"
"160",160,"No","Entre 2 y 4 veces a la semana"
"161",161,"No","Entre 2 y 4 veces a la semana"
"162",162,"No","Entre 2 y 4 veces a la semana"
"163",163,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"164",164,"No","Al menos 5 veces a la semana"
"165",165,"No","Al menos 5 veces a la semana"
"166",166,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"167",167,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"168",168,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"169",169,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"170",170,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"171",171,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"172",172,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"173",173,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"174",174,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"175",175,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"176",176,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"177",177,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"178",178,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"179",179,"No","Entre 2 y 4 veces a la semana"
"180",180,"No","Entre 2 y 4 veces a la semana"
"181",181,"No","Entre 2 y 4 veces a la semana"
"182",182,"No","Entre 2 y 4 veces a la semana"
"183",183,"No","Entre 2 y 4 veces a la semana"
"184",184,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"185",185,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"186",186,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"187",187,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"188",188,"No","Entre 2 y 4 veces a la semana"
"189",189,"No","Entre 2 y 4 veces a la semana"
"190",190,"No","Entre 2 y 4 veces a la semana"
"191",191,"No","Entre 2 y 4 veces a la semana"
"192",192,"No","Entre 2 y 4 veces a la semana"
"193",193,"No","Entre 2 y 4 veces a la semana"
"194",194,"No","Entre 2 y 4 veces a la semana"
"195",195,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"196",196,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"197",197,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"198",198,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"199",199,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"200",200,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"201",201,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"202",202,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"203",203,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"204",204,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"205",205,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"206",206,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"207",207,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"208",208,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"209",209,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"210",210,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"211",211,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"212",212,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"213",213,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"214",214,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"215",215,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"216",216,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"217",217,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"218",218,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"219",219,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"220",220,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"221",221,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"222",222,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"223",223,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"224",224,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"225",225,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"226",226,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"227",227,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"228",228,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"229",229,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"230",230,"Sí, a menos de 500 metros","No hay servicio de recolección municipal"
"231",231,"No","Entre 2 y 4 veces a la semana"
"232",232,"No","Entre 2 y 4 veces a la semana"
"233",233,"No","Entre 2 y 4 veces a la semana"
"234",234,"No","Entre 2 y 4 veces a la semana"
"235",235,"No","Entre 2 y 4 veces a la semana"
"236",236,"No","Entre 2 y 4 veces a la semana"
"237",237,"No","Entre 2 y 4 veces a la semana"
"238",238,"No","Entre 2 y 4 veces a la semana"
"239",239,"No","Entre 2 y 4 veces a la semana"
"240",240,"No","Entre 2 y 4 veces a la semana"
"241",241,"No","Entre 2 y 4 veces a la semana"
"242",242,"No","Entre 2 y 4 veces a la semana"
"243",243,"No","Entre 2 y 4 veces a la semana"
"244",244,"No","Entre 2 y 4 veces a la semana"
"245",245,"No","Entre 2 y 4 veces a la semana"
"246",246,"No","Entre 2 y 4 veces a la semana"
"247",247,"No","Entre 2 y 4 veces a la semana"
"248",248,"No","Entre 2 y 4 veces a la semana"
"249",249,"No","Entre 2 y 4 veces a la semana"
"250",250,"No","Entre 2 y 4 veces a la semana"
"251",251,"No","Entre 2 y 4 veces a la semana"
"252",252,"No","Entre 2 y 4 veces a la semana"
"253",253,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"254",254,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"255",255,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"256",256,"No","Entre 2 y 4 veces a la semana"
"257",257,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"258",258,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"259",259,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"260",260,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"261",261,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"262",262,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"263",263,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"264",264,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"265",265,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"266",266,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"267",267,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"268",268,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"269",269,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"270",270,"Sí, a más de 500 metros y menos de 2 kilómetros","No hay servicio de recolección municipal"
"271",271,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"272",272,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"273",273,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"274",274,"Sí, a más de 500 metros y menos de 2 kilómetros","Al menos 5 veces a la semana"
"275",275,"Sí, a menos de 500 metros","Una vez a la semana"
"276",276,"Sí, a menos de 500 metros","Una vez a la semana"
"277",277,"No","Al menos 5 veces a la semana"
"278",278,"No","Entre 2 y 4 veces a la semana"
"279",279,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"280",280,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"281",281,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"282",282,"Sí, a más de 500 metros y menos de 2 kilómetros","Una vez a la semana"
"283",283,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"284",284,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"285",285,"Sí, a más de 500 metros y menos de 2 kilómetros","Una vez a la semana"
"286",286,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"287",287,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"288",288,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"289",289,"Sí, a menos de 500 metros","Una vez a la semana"
"290",290,"Sí, a más de 500 metros y menos de 2 kilómetros","Una vez a la semana"
"291",291,"Sí, a más de 500 metros y menos de 2 kilómetros","Una vez a la semana"
"292",292,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"293",293,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"294",294,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"295",295,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"296",296,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"297",297,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"298",298,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"299",299,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"300",300,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
"301",301,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"302",302,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"303",303,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"304",304,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"305",305,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"306",306,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"307",307,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"308",308,"Sí, a menos de 500 metros","Una vez a la semana"
"309",309,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"310",310,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"311",311,"Sí, a menos de 500 metros","Entre 2 y 4 veces a la semana"
"312",312,"Sí, a menos de 500 metros","Al menos 5 veces a la semana"
"313",313,"Sí, a más de 500 metros y menos de 2 kilómetros","Entre 2 y 4 veces a la semana"
