"","Orden incial","¿Cuál es la principal fuente de energía que utiliza para calefaccionar la vivienda?","...3","...4","...5","...6","...7","Ventilacion de calefaccion"
"72",72,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"73",73,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"74",74,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"75",75,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"76",76,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"77",77,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"78",78,NA,NA,"Electricidad",NA,NA,NA,NA
"79",79,NA,NA,"Electricidad",NA,NA,NA,NA
"80",80,NA,NA,NA,"Leña/Carbón",NA,NA,"No"
"81",81,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"82",82,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"83",83,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"84",84,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"85",85,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"86",86,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"87",87,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"88",88,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"89",89,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"90",90,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"91",91,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"92",92,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"93",93,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"94",94,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"95",95,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"96",96,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"97",97,NA,NA,"Electricidad",NA,NA,NA,NA
"98",98,NA,NA,"Electricidad",NA,NA,NA,NA
"99",99,NA,NA,"Electricidad",NA,NA,NA,NA
"100",100,NA,NA,"Electricidad",NA,NA,NA,NA
"101",101,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"102",102,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"103",103,NA,NA,"Electricidad",NA,NA,NA,NA
"104",104,NA,NA,"Electricidad",NA,NA,NA,NA
"105",105,NA,NA,"Electricidad",NA,NA,NA,NA
"106",106,NA,NA,"Electricidad",NA,NA,NA,NA
"107",107,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"108",108,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"109",109,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"110",110,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"111",111,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"112",112,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"113",113,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"114",114,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"115",115,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"116",116,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda","No necesito calefaccionar mi vivienda en ninguna época del año",NA
"117",117,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"118",118,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"119",119,NA,NA,NA,"Leña/Carbón",NA,NA,"No"
"120",120,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"121",121,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"122",122,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"123",123,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"124",124,NA,NA,NA,"Leña/Carbón",NA,NA,"No"
"125",125,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"126",126,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"127",127,NA,NA,"Electricidad",NA,NA,NA,NA
"128",128,NA,NA,"Electricidad",NA,NA,NA,NA
"129",129,NA,NA,"Electricidad",NA,NA,NA,NA
"130",130,NA,NA,"Electricidad",NA,NA,NA,NA
"131",131,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"132",132,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"133",133,NA,NA,NA,"Leña/Carbón",NA,NA,"Sí"
"134",134,NA,NA,NA,"Leña/Carbón",NA,NA,"No"
"135",135,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"136",136,NA,NA,"Electricidad",NA,NA,NA,NA
"137",137,NA,NA,"Electricidad","Leña/Carbón",NA,NA,"No"
"138",138,NA,NA,"Electricidad",NA,NA,NA,NA
"139",139,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"140",140,NA,NA,"Electricidad",NA,NA,NA,NA
"141",141,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"142",142,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"143",143,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"144",144,NA,NA,"Electricidad",NA,NA,NA,NA
"145",145,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"146",146,NA,NA,"Electricidad",NA,NA,NA,NA
"147",147,NA,NA,"Electricidad",NA,NA,NA,NA
"148",148,NA,NA,"Electricidad",NA,NA,NA,NA
"149",149,NA,NA,"Electricidad",NA,NA,NA,NA
"150",150,NA,NA,"Electricidad",NA,NA,NA,NA
"151",151,NA,NA,"Electricidad",NA,NA,NA,NA
"152",152,NA,NA,"Electricidad",NA,NA,NA,NA
"153",153,NA,NA,"Electricidad",NA,NA,NA,NA
"154",154,NA,NA,NA,"Leña/Carbón",NA,NA,"Sí"
"155",155,NA,NA,"Electricidad",NA,NA,NA,NA
"156",156,NA,NA,"Electricidad",NA,NA,NA,NA
"157",157,NA,NA,"Electricidad",NA,NA,NA,NA
"158",158,NA,NA,"Electricidad",NA,NA,NA,NA
"159",159,NA,NA,"Electricidad",NA,NA,NA,NA
"160",160,NA,NA,"Electricidad",NA,NA,NA,NA
"161",161,NA,NA,"Electricidad",NA,NA,NA,NA
"162",162,NA,NA,"Electricidad",NA,NA,NA,NA
"163",163,NA,NA,"Electricidad",NA,NA,NA,NA
"164",164,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"165",165,NA,NA,"Electricidad",NA,NA,NA,NA
"166",166,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"167",167,NA,NA,"Electricidad",NA,NA,NA,NA
"168",168,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"169",169,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"170",170,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"171",171,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"172",172,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"173",173,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"174",174,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"175",175,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"176",176,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"177",177,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"178",178,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"179",179,NA,NA,"Electricidad",NA,NA,NA,NA
"180",180,NA,NA,"Electricidad",NA,NA,NA,NA
"181",181,NA,NA,"Electricidad",NA,NA,NA,NA
"182",182,NA,NA,"Electricidad",NA,NA,NA,NA
"183",183,NA,NA,"Electricidad",NA,NA,NA,NA
"184",184,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"185",185,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"186",186,NA,NA,"Electricidad",NA,NA,NA,NA
"187",187,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"188",188,NA,NA,"Electricidad",NA,NA,NA,NA
"189",189,NA,NA,"Electricidad",NA,NA,NA,NA
"190",190,NA,NA,"Electricidad",NA,NA,NA,NA
"191",191,NA,NA,"Electricidad",NA,NA,NA,NA
"192",192,NA,NA,"Electricidad",NA,NA,NA,NA
"193",193,NA,NA,"Electricidad",NA,NA,NA,NA
"194",194,NA,NA,"Electricidad",NA,NA,NA,NA
"195",195,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"196",196,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"197",197,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"198",198,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"199",199,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"200",200,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"201",201,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"202",202,NA,NA,"Electricidad",NA,NA,NA,NA
"203",203,NA,NA,NA,"Leña/Carbón",NA,NA,"Sí"
"204",204,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"205",205,NA,NA,"Electricidad",NA,NA,NA,NA
"206",206,NA,NA,NA,"Leña/Carbón",NA,NA,"No"
"207",207,NA,NA,NA,"Leña/Carbón",NA,NA,"No"
"208",208,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"209",209,NA,NA,"Electricidad",NA,NA,NA,NA
"210",210,NA,NA,"Electricidad",NA,NA,NA,NA
"211",211,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"212",212,NA,NA,"Electricidad",NA,NA,NA,NA
"213",213,NA,NA,NA,"Leña/Carbón",NA,NA,"No"
"214",214,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"215",215,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"216",216,NA,NA,"Electricidad",NA,NA,NA,NA
"217",217,NA,NA,"Electricidad",NA,NA,NA,NA
"218",218,NA,NA,"Electricidad",NA,NA,NA,NA
"219",219,NA,NA,"Electricidad",NA,NA,NA,NA
"220",220,NA,NA,"Electricidad",NA,NA,NA,NA
"221",221,NA,NA,"Electricidad",NA,NA,NA,NA
"222",222,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"223",223,NA,NA,"Electricidad",NA,NA,NA,NA
"224",224,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"225",225,NA,NA,NA,"Leña/Carbón",NA,NA,"No"
"226",226,NA,NA,NA,"Leña/Carbón",NA,NA,"No"
"227",227,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"228",228,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"229",229,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"230",230,NA,NA,NA,"Leña/Carbón",NA,NA,NA
"231",231,NA,NA,"Electricidad",NA,NA,NA,NA
"232",232,NA,NA,"Electricidad",NA,NA,NA,NA
"233",233,NA,NA,"Electricidad",NA,NA,NA,NA
"234",234,NA,NA,"Electricidad",NA,NA,NA,NA
"235",235,NA,NA,"Electricidad",NA,NA,NA,NA
"236",236,NA,NA,"Electricidad",NA,NA,NA,NA
"237",237,NA,NA,"Electricidad",NA,NA,NA,NA
"238",238,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"239",239,NA,NA,"Electricidad",NA,NA,NA,NA
"240",240,NA,NA,"Electricidad",NA,NA,NA,NA
"241",241,NA,NA,"Electricidad",NA,NA,NA,NA
"242",242,NA,NA,"Electricidad",NA,NA,NA,NA
"243",243,NA,NA,"Electricidad",NA,NA,NA,NA
"244",244,NA,NA,"Electricidad",NA,NA,NA,NA
"245",245,NA,NA,"Electricidad",NA,NA,NA,NA
"246",246,NA,NA,"Electricidad",NA,NA,NA,NA
"247",247,NA,NA,"Electricidad",NA,NA,NA,NA
"248",248,NA,NA,"Electricidad",NA,NA,NA,NA
"249",249,NA,NA,"Electricidad",NA,NA,NA,NA
"250",250,NA,NA,"Electricidad",NA,NA,NA,NA
"251",251,NA,NA,"Electricidad",NA,NA,NA,NA
"252",252,NA,NA,"Electricidad",NA,NA,NA,NA
"253",253,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"254",254,NA,NA,"Electricidad",NA,NA,NA,NA
"255",255,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"256",256,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"257",257,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"258",258,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"259",259,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"260",260,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"261",261,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"262",262,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"263",263,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"264",264,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"265",265,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"266",266,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"267",267,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"268",268,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"269",269,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"270",270,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"271",271,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"272",272,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"273",273,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"274",274,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"275",275,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"276",276,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"277",277,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"278",278,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"279",279,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"280",280,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"281",281,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"282",282,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"283",283,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"284",284,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"285",285,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"286",286,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"287",287,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"288",288,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"289",289,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"290",290,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"291",291,NA,NA,NA,NA,"No tengo para calefaccionar mi vivienda",NA,NA
"292",292,NA,NA,NA,NA,NA,"No necesito calefaccionar mi vivienda en ninguna época del año",NA
"293",293,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"294",294,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"295",295,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"296",296,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"297",297,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"298",298,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"299",299,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"300",300,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"301",301,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"302",302,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"303",303,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"304",304,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"305",305,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"306",306,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"307",307,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"308",308,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"309",309,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"310",310,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"311",311,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"312",312,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
"313",313,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA
