"","Orden incial","Conexion a red electrica"
"38",38,"Conexión sin medidor a una red eléctrica (“informal”)"
"39",39,"Conexión sin medidor a una red eléctrica (“informal”)"
"40",40,"Conexión a través de un medidor comunitario a la red eléctrica"
"41",41,"Conexión sin medidor a una red eléctrica (“informal”)"
"42",42,"Conexión sin medidor a una red eléctrica (“informal”)"
"43",43,"Conexión sin medidor a una red eléctrica (“informal”)"
"44",44,"Conexión sin medidor a una red eléctrica (“informal”)"
"45",45,"Conexión sin medidor a una red eléctrica (“informal”)"
"46",46,"Conexión sin medidor a una red eléctrica (“informal”)"
"47",47,"Conexión a través de un medidor a la red eléctrica"
"48",48,"Conexión sin medidor a una red eléctrica (“informal”)"
"49",49,"Conexión sin medidor a una red eléctrica (“informal”)"
"50",50,"Conexión sin medidor a una red eléctrica (“informal”)"
"51",51,"Conexión sin medidor a una red eléctrica (“informal”)"
"52",52,"Conexión sin medidor a una red eléctrica (“informal”)"
"53",53,"Conexión sin medidor a una red eléctrica (“informal”)"
"54",54,"Conexión a través de un medidor a la red eléctrica"
"55",55,"Conexión a través de un medidor a la red eléctrica"
"56",56,"Conexión a través de un medidor a la red eléctrica"
"57",57,"Conexión sin medidor a una red eléctrica (“informal”)"
"58",58,"Conexión sin medidor a una red eléctrica (“informal”)"
"59",59,"Conexión sin medidor a una red eléctrica (“informal”)"
"60",60,"Conexión sin medidor a una red eléctrica (“informal”)"
"61",61,"Conexión sin medidor a una red eléctrica (“informal”)"
"62",62,"Conexión sin medidor a una red eléctrica (“informal”)"
"63",63,"Conexión sin medidor a una red eléctrica (“informal”)"
"64",64,"Conexión sin medidor a una red eléctrica (“informal”)"
"65",65,"Conexión sin medidor a una red eléctrica (“informal”)"
"66",66,"Conexión a través de un medidor a la red eléctrica"
"67",67,"Conexión a través de un medidor a la red eléctrica"
"68",68,"Conexión a través de un medidor a la red eléctrica"
"69",69,"Conexión sin medidor a una red eléctrica (“informal”)"
"70",70,"Conexión a través de un medidor a la red eléctrica"
"71",71,"Conexión a través de un medidor a la red eléctrica"
"72",72,"Conexión sin medidor a una red eléctrica (“informal”)"
"73",73,"Conexión a través de un medidor a la red eléctrica"
"74",74,"Conexión a través de un medidor a la red eléctrica"
"75",75,"Conexión a través de un medidor a la red eléctrica"
"76",76,"Conexión a través de un medidor comunitario a la red eléctrica"
"77",77,"Conexión a través de un medidor a la red eléctrica"
"78",78,"Conexión a través de un medidor a la red eléctrica"
"79",79,"Conexión a través de un medidor a la red eléctrica"
"80",80,"Conexión a través de un medidor a la red eléctrica"
"81",81,"Conexión a través de un medidor a la red eléctrica"
"82",82,"Conexión a través de un medidor a la red eléctrica"
"83",83,"Conexión a través de un medidor a la red eléctrica"
"84",84,"Conexión a través de un medidor comunitario a la red eléctrica"
"85",85,"Conexión a través de un medidor a la red eléctrica"
"86",86,"Conexión a través de un medidor a la red eléctrica"
"87",87,"Conexión a través de un medidor a la red eléctrica"
"88",88,"Conexión a través de un medidor a la red eléctrica"
"89",89,"Conexión a través de un medidor a la red eléctrica"
"90",90,"Conexión a través de un medidor a la red eléctrica"
"91",91,"Conexión a través de un medidor a la red eléctrica"
"92",92,"Conexión a través de un medidor a la red eléctrica"
"93",93,"Conexión a través de un medidor a la red eléctrica"
"94",94,"Conexión a través de un medidor a la red eléctrica"
"95",95,"Conexión a través de un medidor a la red eléctrica"
"96",96,"Conexión sin medidor a una red eléctrica (“informal”)"
"97",97,"Conexión sin medidor a una red eléctrica (“informal”)"
"98",98,"Conexión a través de un medidor comunitario a la red eléctrica"
"99",99,"Conexión sin medidor a una red eléctrica (“informal”)"
"100",100,"Conexión sin medidor a una red eléctrica (“informal”)"
"101",101,"Conexión sin medidor a una red eléctrica (“informal”)"
"102",102,"Conexión sin medidor a una red eléctrica (“informal”)"
"103",103,"Conexión sin medidor a una red eléctrica (“informal”)"
"104",104,"Conexión sin medidor a una red eléctrica (“informal”)"
"105",105,"Conexión sin medidor a una red eléctrica (“informal”)"
"106",106,"Conexión a través de un medidor a la red eléctrica"
"107",107,"Conexión a través de un medidor a la red eléctrica"
"108",108,"Conexión a través de un medidor a la red eléctrica"
"109",109,"Conexión a través de un medidor a la red eléctrica"
"110",110,"Conexión a través de un medidor comunitario a la red eléctrica"
"111",111,"Conexión a través de un medidor a la red eléctrica"
"112",112,"Conexión a través de un medidor a la red eléctrica"
"113",113,"Conexión a través de un medidor a la red eléctrica"
"114",114,"Conexión a través de un medidor a la red eléctrica"
"115",115,"Conexión a través de un medidor a la red eléctrica"
"116",116,"Conexión sin medidor a una red eléctrica (“informal”)"
"117",117,"Conexión sin medidor a una red eléctrica (“informal”)"
"118",118,"Conexión a través de un medidor comunitario a la red eléctrica"
"119",119,"Conexión sin medidor a una red eléctrica (“informal”)"
"120",120,"Conexión sin medidor a una red eléctrica (“informal”)"
"121",121,"Conexión a través de un medidor a la red eléctrica"
"122",122,"Conexión sin medidor a una red eléctrica (“informal”)"
"123",123,"Conexión sin medidor a una red eléctrica (“informal”)"
"124",124,"Conexión sin medidor a una red eléctrica (“informal”)"
"125",125,"Conexión a través de un medidor a la red eléctrica"
"126",126,"Conexión a través de un medidor a la red eléctrica"
"127",127,"Conexión a través de un medidor a la red eléctrica"
"128",128,"Conexión sin medidor a una red eléctrica (“informal”)"
"129",129,"Conexión sin medidor a una red eléctrica (“informal”)"
"130",130,"Conexión sin medidor a una red eléctrica (“informal”)"
"131",131,"Conexión sin medidor a una red eléctrica (“informal”)"
"132",132,"Conexión sin medidor a una red eléctrica (“informal”)"
"133",133,"Conexión sin medidor a una red eléctrica (“informal”)"
"134",134,"Conexión sin medidor a una red eléctrica (“informal”)"
"135",135,"Conexión sin medidor a una red eléctrica (“informal”)"
"136",136,"Conexión sin medidor a una red eléctrica (“informal”)"
"137",137,"Conexión sin medidor a una red eléctrica (“informal”)"
"138",138,"Conexión sin medidor a una red eléctrica (“informal”)"
"139",139,"Conexión sin medidor a una red eléctrica (“informal”)"
"140",140,"Conexión sin medidor a una red eléctrica (“informal”)"
"141",141,"Conexión sin medidor a una red eléctrica (“informal”)"
"142",142,"Conexión sin medidor a una red eléctrica (“informal”)"
"143",143,"Conexión a través de un medidor a la red eléctrica"
"144",144,"Conexión a través de un medidor a la red eléctrica"
"145",145,"Conexión a través de un medidor a la red eléctrica"
"146",146,"Conexión a través de un medidor a la red eléctrica"
"147",147,"Conexión a través de un medidor a la red eléctrica"
"148",148,"Conexión a través de un medidor a la red eléctrica"
"149",149,"Conexión a través de un medidor a la red eléctrica"
"150",150,"Conexión a través de un medidor a la red eléctrica"
"151",151,"Conexión a través de un medidor comunitario a la red eléctrica"
"152",152,"Conexión a través de un medidor comunitario a la red eléctrica"
"153",153,"Conexión a través de un medidor a la red eléctrica"
"154",154,"Conexión sin medidor a una red eléctrica (“informal”)"
"155",155,"Conexión a través de un medidor a la red eléctrica"
"156",156,"Conexión a través de un medidor a la red eléctrica"
"157",157,"Conexión a través de un medidor a la red eléctrica"
"158",158,"Conexión a través de un medidor a la red eléctrica"
"159",159,"Conexión a través de un medidor a la red eléctrica"
"160",160,"Conexión a través de un medidor a la red eléctrica"
"161",161,"Conexión a través de un medidor a la red eléctrica"
"162",162,"Conexión a través de un medidor a la red eléctrica"
"163",163,"Conexión sin medidor a una red eléctrica (“informal”)"
"164",164,"Conexión sin medidor a una red eléctrica (“informal”)"
"165",165,"Conexión sin medidor a una red eléctrica (“informal”)"
"166",166,"Conexión sin medidor a una red eléctrica (“informal”)"
"167",167,"Conexión a través de un medidor a la red eléctrica"
"168",168,"Conexión sin medidor a una red eléctrica (“informal”)"
"169",169,"Conexión sin medidor a una red eléctrica (“informal”)"
"170",170,"Conexión sin medidor a una red eléctrica (“informal”)"
"171",171,"Conexión sin medidor a una red eléctrica (“informal”)"
"172",172,"Conexión sin medidor a una red eléctrica (“informal”)"
"173",173,"No posee conexión a la red eléctrica en la vivienda"
"174",174,"Conexión sin medidor a una red eléctrica (“informal”)"
"175",175,"Conexión sin medidor a una red eléctrica (“informal”)"
"176",176,"Conexión sin medidor a una red eléctrica (“informal”)"
"177",177,"Conexión sin medidor a una red eléctrica (“informal”)"
"178",178,"No posee conexión a la red eléctrica en la vivienda"
"179",179,"Conexión a través de un medidor comunitario a la red eléctrica"
"180",180,"Conexión a través de un medidor a la red eléctrica"
"181",181,"Conexión a través de un medidor a la red eléctrica"
"182",182,"Conexión a través de un medidor a la red eléctrica"
"183",183,"Conexión a través de un medidor a la red eléctrica"
"184",184,"Conexión sin medidor a una red eléctrica (“informal”)"
"185",185,"Conexión sin medidor a una red eléctrica (“informal”)"
"186",186,"Conexión sin medidor a una red eléctrica (“informal”)"
"187",187,"Conexión sin medidor a una red eléctrica (“informal”)"
"188",188,"Conexión a través de un medidor a la red eléctrica"
"189",189,"Conexión a través de un medidor a la red eléctrica"
"190",190,"Conexión a través de un medidor a la red eléctrica"
"191",191,"Conexión a través de un medidor a la red eléctrica"
"192",192,"Conexión a través de un medidor a la red eléctrica"
"193",193,"Conexión a través de un medidor a la red eléctrica"
"194",194,"Conexión a través de un medidor a la red eléctrica"
"195",195,"Conexión sin medidor a una red eléctrica (“informal”)"
"196",196,"Conexión sin medidor a una red eléctrica (“informal”)"
"197",197,"Conexión sin medidor a una red eléctrica (“informal”)"
"198",198,"Conexión sin medidor a una red eléctrica (“informal”)"
"199",199,"Conexión sin medidor a una red eléctrica (“informal”)"
"200",200,"Conexión a través de un medidor a la red eléctrica"
"201",201,"No posee conexión a la red eléctrica en la vivienda"
"202",202,"Conexión a través de un medidor a la red eléctrica"
"203",203,"Conexión a través de un medidor a la red eléctrica"
"204",204,"Conexión sin medidor a una red eléctrica (“informal”)"
"205",205,"Conexión sin medidor a una red eléctrica (“informal”)"
"206",206,"Conexión sin medidor a una red eléctrica (“informal”)"
"207",207,"Conexión sin medidor a una red eléctrica (“informal”)"
"208",208,"Conexión sin medidor a una red eléctrica (“informal”)"
"209",209,"Conexión sin medidor a una red eléctrica (“informal”)"
"210",210,"Conexión sin medidor a una red eléctrica (“informal”)"
"211",211,"Conexión sin medidor a una red eléctrica (“informal”)"
"212",212,"No posee conexión a la red eléctrica en la vivienda"
"213",213,"Conexión sin medidor a una red eléctrica (“informal”)"
"214",214,"No posee conexión a la red eléctrica en la vivienda"
"215",215,"Conexión sin medidor a una red eléctrica (“informal”)"
"216",216,"Conexión sin medidor a una red eléctrica (“informal”)"
"217",217,"Conexión sin medidor a una red eléctrica (“informal”)"
"218",218,"Conexión sin medidor a una red eléctrica (“informal”)"
"219",219,"Conexión sin medidor a una red eléctrica (“informal”)"
"220",220,"Conexión sin medidor a una red eléctrica (“informal”)"
"221",221,"Conexión sin medidor a una red eléctrica (“informal”)"
"222",222,"Conexión sin medidor a una red eléctrica (“informal”)"
"223",223,"Conexión sin medidor a una red eléctrica (“informal”)"
"224",224,"Conexión a través de un medidor a la red eléctrica"
"225",225,"Conexión a través de un medidor a la red eléctrica"
"226",226,"No posee conexión a la red eléctrica en la vivienda"
"227",227,"Conexión a través de un medidor a la red eléctrica"
"228",228,"Conexión a través de un medidor a la red eléctrica"
"229",229,"Conexión a través de un medidor a la red eléctrica"
"230",230,"Conexión a través de un medidor a la red eléctrica"
"231",231,"Conexión a través de un medidor a la red eléctrica"
"232",232,"Conexión a través de un medidor a la red eléctrica"
"233",233,"Conexión a través de un medidor a la red eléctrica"
"234",234,"Conexión a través de un medidor a la red eléctrica"
"235",235,"Conexión a través de un medidor a la red eléctrica"
"236",236,"Conexión a través de un medidor a la red eléctrica"
"237",237,"Conexión a través de un medidor a la red eléctrica"
"238",238,"Conexión a través de un medidor a la red eléctrica"
"239",239,"Conexión a través de un medidor a la red eléctrica"
"240",240,"Conexión a través de un medidor a la red eléctrica"
"241",241,"Conexión a través de un medidor a la red eléctrica"
"242",242,"Conexión a través de un medidor a la red eléctrica"
"243",243,"Conexión a través de un medidor a la red eléctrica"
"244",244,"Conexión a través de un medidor a la red eléctrica"
"245",245,"Conexión a través de un medidor a la red eléctrica"
"246",246,"Conexión a través de un medidor a la red eléctrica"
"247",247,"Conexión a través de un medidor a la red eléctrica"
"248",248,"Conexión a través de un medidor a la red eléctrica"
"249",249,"Conexión a través de un medidor a la red eléctrica"
"250",250,"Conexión a través de un medidor a la red eléctrica"
"251",251,"Conexión a través de un medidor a la red eléctrica"
"252",252,"Conexión a través de un medidor a la red eléctrica"
"253",253,"Conexión a través de un medidor a la red eléctrica"
"254",254,"Conexión a través de un medidor a la red eléctrica"
"255",255,"No posee conexión a la red eléctrica en la vivienda"
"256",256,"Conexión a través de un medidor a la red eléctrica"
"257",257,"No posee conexión a la red eléctrica en la vivienda"
"258",258,"Conexión a través de un medidor comunitario a la red eléctrica"
"259",259,"No posee conexión a la red eléctrica en la vivienda"
"260",260,"Conexión a través de un medidor a la red eléctrica"
"261",261,"No posee conexión a la red eléctrica en la vivienda"
"262",262,"Conexión sin medidor a una red eléctrica (“informal”)"
"263",263,"No posee conexión a la red eléctrica en la vivienda"
"264",264,"Conexión a través de un medidor a la red eléctrica"
"265",265,"No posee conexión a la red eléctrica en la vivienda"
"266",266,"No posee conexión a la red eléctrica en la vivienda"
"267",267,"Conexión a través de un medidor a la red eléctrica"
"268",268,"Conexión a través de un medidor a la red eléctrica"
"269",269,"Conexión a través de un medidor comunitario a la red eléctrica"
"270",270,"Conexión a través de un medidor comunitario a la red eléctrica"
"271",271,"Conexión a través de un medidor a la red eléctrica"
"272",272,"Conexión a través de un medidor a la red eléctrica"
"273",273,"Conexión a través de un medidor a la red eléctrica"
"274",274,"Conexión a través de un medidor a la red eléctrica"
"275",275,"Conexión sin medidor a una red eléctrica (“informal”)"
"276",276,"No posee conexión a la red eléctrica en la vivienda"
"277",277,"Conexión a través de un medidor a la red eléctrica"
"278",278,"Conexión a través de un medidor a la red eléctrica"
"279",279,"Conexión a través de un medidor a la red eléctrica"
"280",280,"Conexión a través de un medidor a la red eléctrica"
"281",281,"Conexión a través de un medidor a la red eléctrica"
"282",282,"Conexión a través de un medidor a la red eléctrica"
"283",283,"Conexión a través de un medidor a la red eléctrica"
"284",284,"Conexión a través de un medidor a la red eléctrica"
"285",285,"Conexión a través de un medidor a la red eléctrica"
"286",286,"Conexión a través de un medidor a la red eléctrica"
"287",287,"Conexión a través de un medidor comunitario a la red eléctrica"
"288",288,"Conexión a través de un medidor comunitario a la red eléctrica"
"289",289,"Conexión a través de un medidor a la red eléctrica"
"290",290,"No posee conexión a la red eléctrica en la vivienda"
"291",291,"No posee conexión a la red eléctrica en la vivienda"
"292",292,"Conexión a través de un medidor a la red eléctrica"
"293",293,"Conexión a través de un medidor comunitario a la red eléctrica"
"294",294,"No posee conexión a la red eléctrica en la vivienda"
"295",295,"Conexión a través de un medidor a la red eléctrica"
"296",296,"Conexión a través de un medidor comunitario a la red eléctrica"
"297",297,"Conexión a través de un medidor a la red eléctrica"
"298",298,"Conexión a través de un medidor comunitario a la red eléctrica"
"299",299,"Conexión a través de un medidor a la red eléctrica"
"300",300,"Conexión a través de un medidor comunitario a la red eléctrica"
"301",301,"Conexión a través de un medidor a la red eléctrica"
"302",302,"Conexión sin medidor a una red eléctrica (“informal”)"
"303",303,"Conexión a través de un medidor a la red eléctrica"
"304",304,"No posee conexión a la red eléctrica en la vivienda"
"305",305,"No posee conexión a la red eléctrica en la vivienda"
"306",306,"Conexión a través de un medidor a la red eléctrica"
"307",307,"Conexión a través de un medidor a la red eléctrica"
"308",308,"Conexión a través de un medidor a la red eléctrica"
"309",309,"Conexión a través de un medidor a la red eléctrica"
"310",310,"Conexión a través de un medidor a la red eléctrica"
"311",311,"Conexión a través de un medidor a la red eléctrica"
"312",312,"Conexión a través de un medidor a la red eléctrica"
"313",313,"Conexión a través de un medidor a la red eléctrica"
